Lane,"Assembly Type","Total Length","No Contigs","Avg Contig Length","Largest Contig",N50,"Contigs in N50",N60,"Contigs in N60",N70,"Contigs in N70",N80,"Contigs in N80",N90,"Contigs in N90",N100,"Contigs in N100","No scaffolded bases (N)","Total Raw Reads","Reads Mapped","Reads Unmapped","Reads Paired","Reads Unpaired","Total Raw Bases","Total Bases Mapped","Total Bases Mapped (Cigar)","Average Read Length","Maximum Read Length","Average Quality","Insert Size Average","Insert Size Std Dev"
21320_8#1,"Scaffold: Velvet + Improvement",6243449,27,231238.85,1497016,656887,4,656887,4,413828,6,312476,8,162445,10,308,27,217,2398728,2388568,10160,2398728,,362207928,360673768,357723975,151,151,36.6,481.2,81.8
21320_8#2,"Scaffold: Velvet + Improvement",6239926,29,215169.86,1453170,580290,3,418397,5,412016,6,312417,8,228666,10,308,29,1,2357530,2347484,10046,2357530,,355987030,354470084,351252475,151,151,36.6,494.8,92.9
21320_8#3,"Scaffold: Velvet + Improvement",6242659,29,215264.10,1111969,558904,4,414234,6,413488,7,307454,9,169271,12,314,29,0,2773200,2763005,10195,2773200,,418753200,417213755,413876630,151,151,36.7,463.8,83.3
21320_8#4,"Scaffold: Velvet + Improvement",6238676,19,328351.37,1791630,656858,3,609727,4,395327,6,311221,7,210891,10,314,19,448,2436996,2427484,9512,2436996,,367986396,366550084,363712356,151,151,36.8,463.1,81.8
21320_8#5,"Scaffold: Velvet + Improvement",6241677,18,346759.83,1673009,814706,3,768845,4,418933,5,395484,7,312425,8,314,18,76,2474706,2464449,10257,2474706,,373680606,372131799,368940577,151,151,36.6,483.1,90.1
21320_8#6,"Scaffold: Velvet + Improvement",6241790,22,283717.73,1725063,656865,3,419138,5,413566,6,312422,8,228871,10,314,22,295,2386374,2377511,8863,2386374,,360342474,359004161,356180854,151,151,36.7,478.7,82.7
21320_8#7,"Scaffold: Velvet + Improvement",6239171,28,222827.54,1169035,417317,5,412011,6,394997,8,312417,9,230039,12,308,28,416,2318754,2309265,9489,2318754,,350131854,348699015,346119978,151,151,36.8,468.1,86.2
21320_8#8,"Scaffold: Velvet + Improvement",6240857,31,201317.97,1181391,580249,4,411466,6,410911,7,312417,9,240597,11,308,31,72,2177586,2168284,9302,2177586,,328815486,327410884,324739947,151,151,36.7,477.4,85.5
21320_8#9,"Scaffold: Velvet + Improvement",6238368,33,189041.45,811115,414080,5,394996,7,312417,9,242286,11,161361,14,308,33,320,1944728,1936074,8654,1944728,,293653928,292347174,289803752,151,151,36.5,490.3,85.2
21320_8#10,"Scaffold: Velvet + Improvement",6239729,24,259988.71,1112530,558920,5,488961,6,412999,7,312421,9,242358,11,305,24,503,2003808,1996040,7768,2003808,,302575008,301402040,298893563,151,151,36.7,479.7,84.7
